Time,Day_Of_Year,TT_16,PYNM_02,TT_11,FT_02,Wind_Velocity,HG_ARRAY_02
5/24/18,144,45.49928724,385.5815007,53.36582324,18.93404059,null,3287.840762
5/25/18,145,46.20426829,380.6943874,54.51398852,18.91900749,null,3238.989592
5/26/18,146,44.77143895,272.7383966,52.18731831,18.83848771,null,2934.429301
5/27/18,147,45.81039216,356.0829974,53.94078431,18.90374088,null,3205.220639
5/28/18,148,46.98538961,299.9970454,55.21827686,18.83729082,null,3125.356879
5/29/18,149,45.88538732,329.8732281,53.57547502,18.84181866,null,3098.49265
5/30/18,150,44.99172535,345.2030488,52.58732394,18.84316406,null,3071.887111
5/31/18,151,43.5653589,300.7455218,51.60767065,18.93883495,null,3022.0232
6/1/18,152,45.48389085,341.4812766,53.48397887,18.93432203,null,3164.127394
6/2/18,153,46.79890922,348.6355624,54.98416608,18.95057034,null,3246.015074
6/3/18,154,46.07975352,316.5917747,53.91056338,18.87194162,null,3155.639534
6/4/18,155,42.17970402,220.500551,51.58221831,9.836700531,null,1644.462087
6/5/18,156,42.89322701,288.7721986,50.02858326,14.27774123,null,2258.381503
6/6/18,157,46.69652062,429.9738173,54.90727194,18.92290749,null,3282.420716
6/7/18,158,43.32423858,277.5105247,50.75960841,17.08586648,null,2774.036591
6/8/18,159,36.76554637,117.3193827,43.09278536,3.745543315,null,621.7659986
6/9/18,160,41.91566901,335.401616,49.09286972,14.18084895,null,2370.809264
6/10/18,161,44.42866027,353.529789,52.20430299,18.86878614,null,3164.245082
6/11/18,162,46.96866197,387.9830603,55.38820423,18.91328668,null,3296.003785
6/12/18,163,47.01727786,260.5245366,55.40891473,18.93862275,null,3171.63586
6/13/18,164,44.66496479,176.726495,53.07165493,18.84699312,null,2979.565774
6/14/18,165,41.2796841,87.34786475,47.20315904,18.54018954,null,2176.705727
6/15/18,166,null,null,null,null,null,null
6/16/18,167,null,null,null,null,null,null
6/17/18,168,42.44721284,195.1121718,51.58804899,16.73352282,null,2580.574885
6/18/18,169,43.07381959,370.0878145,50.59929577,18.87574541,null,3089.739916
6/19/18,170,43.87579225,368.7306002,51.41971831,18.89634725,null,3112.748924
6/20/18,171,47.10677817,333.7914798,55.60669014,18.88860328,null,2881.59933
6/21/18,172,47.49929577,377.3611249,56.11338028,18.93060748,null,3133.161237
6/22/18,173,45.17494715,239.6979313,52.80673009,18.87933025,null,2577.047007
6/23/18,174,46.23644366,414.5337723,54.55528169,18.89947824,null,3100.752673
6/24/18,175,48.55796335,380.5985957,57.53946441,18.90345064,null,3113.190051
6/25/18,176,44.02570423,295.4984054,51.53697183,18.91326046,null,3068.393475
6/26/18,177,32.49875445,45.90636215,37.59092527,5.218333001,null,658.7059197
6/27/18,178,29.06192822,35.96861158,34.18886348,1.556995754,null,158.9297002
6/28/18,179,36.4534331,133.6618073,42.49586268,13.32029744,null,1735.428977
6/29/18,180,41.91739972,230.0750596,49.46850809,18.78302485,null,2972.813707
6/30/18,181,43.00362447,178.0809673,49.97613154,18.84578913,null,2714.941488
7/1/18,182,38.11100352,121.7714219,43.66214789,7.365464078,null,930.3300764
7/2/18,183,34.02702465,73.40579605,39.98521127,4.256005516,null,494.8996338
7/3/18,184,37.81038732,178.0429195,44.24982394,7.199437445,9.324782609,998.4344877
7/4/18,185,39.65937816,184.3704633,46.79701719,12.42160604,4.844166667,1530.658958
7/5/18,186,null,null,null,null,6.28037037,null
7/6/18,187,null,null,null,null,null,null
7/7/18,188,null,null,null,null,null,null
7/8/18,189,null,null,null,null,null,null
7/9/18,190,null,null,null,null,null,null
7/10/18,191,null,null,null,null,null,null
